"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","73 - Do not change"
"@version","2.14 - Do not change"
"@author","Your Name"
"#00000","OK"
"#00001","Quit"
"#00002","Back"
"#00003","Yes"
"#00004","No"
"#00005","Check"
"#00006","Save"
"#00007","Menu"
"#00008","My Score"
"#00009","Top"
"#00010","Site"
"#00011","Details"
"#00012","Rotate"
"#00013","Hint"
"#00014","Order"
"#00015","=#00012"
"#00016","Rename"
"#00017","All"
"#00018","Reset"
"#00019","Next"
"#00020","Remove"
"#00021","Toggle"
"#00022","Info"
"#00023","Self"
"#00024","Retire"
"#00025","Up"
"#00026","Cancel"
"#00027","Loading failed"
"#00028","Slot"
"#00029","Do not use: / | < > \"
"#00030","Complete"
"#00031","=#00003"
"#00032","=#00004"
"#00033","Message"
"#00034","=#00006"
"#00035","=#00017"
"#00036","List"
"#00037","That's a pretty good score! Move the scroll bar down to see the details."
"#00038","Now following this guest. Tap again to see detailed info."
"#00039","Kairo News"
"#00040","Visit us at Kairo Park."
"#00041","Check out Kairo Park Apps."
"#00042","Quit the game and head to"
"#00043","Head to Kairo Park?"
"#00044","Head to our App intro page?"
"#00045","=#00000"
"#00046","Stay up-to-date with the"
"#00047","latest Kairo Park info!"
"#00048","Build and manage the"
"#00049","ultimate hot springs inn."
"#00050","Develop a million-selling"
"#00051","game in this simulation."
"#00052","Take your game company"
"#00053","to the top of the industry."
"#00054","Currency"
"#00055","\"
"#00056","$"
"#00057","Switch currency to yen/dollars."
"#00058","Note that ￥100 = ＄1."
"#00059","Enter Kairo Park"
"#00060","Please enter a name."
"#00061","Enter up to <0> characters."
"#00062","Please allow connection to a network and check your signal strength."
"#00063","Please allow connection to a network<br>and check your signal strength."
"#00064","Authentication failed."
"#00065","A server error has occurred."
"#00066","Authentication failed. Please use the account you used to purchase the app and check your signal."
"#00067","Please use the account you used to purchase the app and check your signal."
"#00068","A data error has occurred.<br>Please re-install the application."
"#00069","An error has occurred.<br>Please restart the application."
"#00070","Auto <0>"
"#00071","Save <0>"
"#00072","Send all data"
"#00073","Show error log"
"#00074","Send all data?"
"#00075","Send Autosave Data <0>?"
"#00076","Send Save Data <0>?"
"#00077","Data sent.<br>Thanks for your cooperation.<br>We hope you'll stick with us!"
"#00078","An error has occurred.<br>Retry?"
"#00079","Send Save Data"
"#00080","Choose data to send."
"#00081","Sending data"
"#00082","Do not turn the device off."
"#00083","An error has occurred."
"#00084","=#00029"
"#00085","Money"
"#00086","None"
"#00087","Error"
"#00088","Loading"
"#00089","=#00088"
"#00090","Could not read data."
"#00091","After this you'll jump to our site, so check it out!"
"#00092","Thanks for playing!"
"#00093","Not enough gold."
"#00094","High Score"
"#00095","Clear Points Record"
"#00096","Highest Funds by Year <0>"
"#00097","=#00094"
"#00098","System"
"#00099","Options"
"#00100","Tutorial"
"#00101","=#00001"
"#00102","Continue"
"#00103","New Game"
"#00104","Delete"
"#00105","Title Screen"
"#00106","Yes\tNo"
"#00107","=#00000"
"#00108","Close"
"#00109","Priority"
"#00110","Speed"
"#00111","Music"
"#00112","SFX"
"#00113","Rotation"
"#00114","Graphics"
"#00115","Perf."
"#00116","Fast"
"#00117","Normal"
"#00118","Auto"
"#00119","Lock"
"#00120","=#00099"
"#00121","Selecting “Perf.” prioritizes"
"#00122","performance over graphics."
"#00123","Change the game's speed."
"#00124","(Unlocked after beating game.)"
"#00125","Adjust the volume."
"#00127","Landscape mode available"
"#00128","in the full version!"
"#00129","Choose to automatically"
"#00130","rotate the screen or not."
"#00131","=#00033"
"#00132","Dialogue Window"
"#00133","Event"
"#00134","About the Game"
"#00135","(C) Kairosoft Co., Ltd."
"#00136","Ending"
"#00137","+<0> pts"
"#00138","Gold"
"#00139","Final Score"
"#00140","Calculating..."
"#00141","Start"
"#00142","Full Ver."
"#00143","High Scores"
"#00144","Load failed."
"#00145","No save data found"
"#00146","Could not start game."
"#00147","Save slot"
"#00148","Resume"
"#00149","Load Data"
"#00150","No autosave data"
"#00151","Empty"
"#00152","Y<0> M<1> W<2>"
"#00153","Select data to load"
"#00154","Lite Version"
"#00155","Make sure to allow connection to network<br>and check your signal strength."
"#00156","Welcome to the Anime Awards!"
"#00157","Here are this year's winners!"
"#00158","The <1> and <0>..."
"#00159","...goes to <0>!"
"#00160","Next, the <1> and <0>..."
"#00161","=#00158"
"#00162","Before the <0>,"
"#00163","<1>, with a penalty of <0>…"
"#00164","Try not to ""win"" that again!"
"#00165","And now, the <0>!"
"#00166","This year's <0>..."
"#00167","And all of our admiration..."
"#00168","They will also receive <0>."
"#00169","Whether you won or lost,"
"#00170","I wish you luck next year."
"#00171","Goodbye!"
"#00172","Congratulations! We won the Grand Prize! We have to go back and tell everybody at the office!"
"#00173","Uh-oh. We won ""Worst Show!"" Let's make sure that doesn't happen again!"
"#00174","Feels great to win trophies! I'm so happy we got <0>. "
"#00175","This'll help boost our studio's rep!"
"#00176","This should really help boost our studio's rep!"
"#00177","/You need to have just the right combination to win the Grand Prize! Maybe next year!"
"#00178","Unfortunately we didn't win anything. Let's go for the Grand Prize next year!"
"#00179","The show you were producing is complete. It will now be edited to remove poor quality scenes."
"#00180","/If poor quality scenes are left in, it can adversely affect the show, and the station may even drop it!/You get Production Points (PP) for each scene eliminated, and depending on your staff's abilities, the show's stats may increase!"
"#00181","Hello there!/I'll be your secretary./We're still a small studio, but someday we'll win an Anime Award! I just know it!/Why not try hiring some staff to prepare for your first show?"
"#00182","/By the way, in this Lite version you can play until Month <1> of Year <0>. Enjoy!"
"#00183","Production is going well so far! Now choose the main character!"
"#00184","Things are getting interesting! Now it's time for a screening with the staff!"
"#00185","/Thanks to the rented Screening Room, you'll get more points than usual."
"#00186","/Screening involves watching the finished product and checking the music and visuals./Depending on the staff's jobs, you may get more Production Points. I can't wait to see how it turns out!"
"#00187","Boss.../"
"#00188","I've got an idea about how I can use my unique skills to improve the show. Can I give it a try?"
"#00189","Boss!/Remember how we tried recruiting new staff members?/Well, we got zero responses!/Maybe we should try another recruiting method!"
"#00190","Boss.../Remember how we used the <0> to recruit staff the other day?/We got <1> applicants. Who should we hire?"
"#00191","Boss.../We got <0> applicants!/Who should we hire?"
"#00192","<0>'s debut is over. Let's look at the ratings!/"
"#00193","We currently have <0> viewers and a share of..."
"#00194","<0>.<1>%!/I can't wait to see how many more viewers we can get!"
"#00195","Extra income: <0>"
"#00196","The studio's finances are a little shaky, aren't they?/But don't worry. I just sold some of my anime collection and made quite a bit!/But if you get low on funds from now on, try taking on some subcontracting work."
"#00197","It's the end of the year. "
"#00198","<0> will be deducted for your staff's next year's salaries."
"#00199","/Or that's what I'd usually say! This year a government stimulus program will pay their salaries for you!/Just remember that you have to pay them next year."
"#00200","Salary payment -<0>"
"#00201","The end of the fiscal year is almost here. Staff salaries are deducted at the end of the third month of the year, so watch your finances."
"#00202","It's time for the winners of the Anime Awards to be announced."
"#00203","It's time for this year's Anime Awards!"
"#00204","/There are a number of awards given to anime programs broadcast in the last year."
"#00205","/But unfortunately we didn't have anything to enter. Maybe next year!"
"#00206","/The entries from <0> were;|"
"#00207","<0>"
"#00208",", and|"
"#00209","/I can't wait to see if we win!|Let's go to the awards hall!"
"#00210","Greetings.|I represent the TV station, <0>./We are trying to strengthen our lineup of anime programming./We have an open timeslot, if you're interested."
"#00211","Station added: <0>"
"#00212","Production for <0> is complete!"
"#00213","Hello./I work at a nearby real estate agency. I love <0>'s shows./By the way, isn't this office a bit small? A new property just came on the market, if you're interested."
"#00214","BEAR/MAX Sales Rep"
"#00215","Nice to see you again. I'm glad to see you're doing so well. I knew you could do it./I came to talk to you about a new property. It's a real gem./My company even provides maintenance. Please think it over."
"#00216","BEAR/MAX Manager"
"#00217","Well done.|<0> years have now passed./This ends the main portion of the game."
"#00218","/<0> broadcast <1> shows,|"
"#00219","with a total of <0> viewers./"
"#00220","The most popular show was|<0>,| which had <1> viewers./"
"#00221","You can keep playing the game from now on. However, your high score (total capital) will no longer be updated./If you start a new game, you will be able to start playing using the current levels for show themes, and any character heads/or bodies you've unlocked, which should make it easier to beat your high score next time."
"#00222","<0> has reached <1>0k viewers! Congratulations!"
"#00223","Someone came to visit the studio."
"#00224","Offer added: <0>"
"#00225","Letter from a child"
"#00226","Letter from a youth"
"#00227","Letter from a student"
"#00228","Letter from an adult"
"#00229","Letter from a senior"
"#00230","Hi! I'm a huge fan of <0>'s shows!"
"#00231","Hello! I really enjoy <0>'s animation."
"#00232","Hello. I've been a fan of <0>'s shows for years."
"#00233","=#00230"
"#00234","Sorry to write you out of the blue, but I'm a big fan of <0>."
"#00235","|   When I saw <0> recently, I was on the edge of my seat!"
"#00236","|   I read about <0> on the net and couldn't wait to watch it!"
"#00237","|   In fact, I borrowed a DVD of <0> from a friend and watched it."
"#00238","|   Using a <0> setting with <1> "
"#00239","and <0> "
"#00240","might rub some people the wrong way. "
"#00241","But I wanted you to know that some people love it! I can't wait to see what you do next!"
"#00242","didn't really do much for me..."
"#00243","|   I've always liked your shows, so it was disappointing. I'm not sure I'll be your fan anymore. ...But I'll probably watch your next show."
"#00244","|   Everybody on the online forums said it was a little weird. I hope you choose a better combination next time. I'll be pulling for you!"
"#00245","|   I enjoyed it overall, but I think if you put some more work into your themes you could make something really special."
"#00246","|   I couldn't really enjoy the story, so next time I hope you'll rethink the setting and theme to make something more interesting. I'm looking forward to it!"
"#00247","|   Using a ""<0>"" setting with <1> "
"#00248","seemed promising, but when I actually saw the show it wasn't very interesting..."
"#00249","My other anime-loving friends even said we should watch something else..."
"#00250","|   Personally, I think it was because of low <0>."
"#00251","|   I really liked <0>, so I hope your next show will be as good!"
"#00252","and <0>"
"#00253","seemed a little weird at first, but it was awesome!"
"#00254","I'm sorry (LOL)."
"#00255","|   I like the <0> setting, and "
"#00256","the theme of <0> "
"#00257","plus <0>"
"#00258","made it a very fun show. "
"#00259","The complexity of the <0> really drew me in!"
"#00260","The show's <0> really cheered me up!"
"#00261","<0> was amazing and made me lose myself in the world of the show!"
"#00262","<0> was great and left me feeling wonderful!"
"#00263","|   I'm thinking about starting a fan site!"
"#00264","|   I hear that making anime is difficult, but don't give up! Catch you later!"
"#00265","|   I hear that making anime is difficult, but don't give up! Goodbye!"
"#00266","The new rented facility is all set up and will boost the stats of all staff members!/Rented facilities require upkeep, so if you're low on funds you can temporarily remove them."
"#00267","Hello. I heard that one of your staff members has mastered a job./"
"#00268","We're constantly researching the anime industry, and even offer a Job Lab that you can rent./"
"#00269","I encourage you to use the lab to make even better shows."
"#00270","Pumpkin Products"
"#00271","Rented facilty added: <0>"
"#00272","You're renting a new facility: <0>!"
"#00273","Omigosh!!|A poor quality scene in <0> has caused viewers to complain!/We removed it, but it's affected our popularity..."
"#00274","Omigosh!!|A poor quality scene in <0> has caused viewers to complain!/The show's been cancelled and we paid a fine of <1>..."
"#00275","<0> Cancelled"
"#00276","Wow! Somebody who watched our show has sent us a merchandising offer!/Check it out under ""Offers"" on the menu!"
"#00277","Things seem to be going pretty well at the studio so far./It's probably about time for us to make our own original characters./Select ""Create"" > ""Characters"" from the menu."
"#00278","The list of the top 5 anime characters has been updated."
"#00279","Thanks to <0>, the <1> theme has reached Lv. <2>!"
"#00280","<0> has reached Lv. <1> and a new head design was discovered!"
"#00281","<0> has reached Lv. <1> and a new body design was discovered!"
"#00282","A third-tier magazine did a feature on <0>! That should boost our ratings!"
"#00283","A second-tier magazine did a feature on <0>! That should boost our ratings!"
"#00284","Everybody online is talking about <0>! That should give a big boost to our ratings!"
"#00285","A hugely popular magazine did a feature on <0>! That should really boost our ratings!"
"#00286","A TV show did a feature on <0>! That should really boost our ratings!"
"#00287","Congratulations on completing <0>./Our station's viewers seem to love the ""<1>"" setting, so I'm sure it will be popular./Our president is quite happy, and we hope you'll use our station again."
"#00288","Relationship with <0> improved"
"#00289","Congratulations on completing <0>./However, our station's viewers don't really care for the <1> setting.../Maybe you should try something different next time to get more viewers."
"#00290","<0> Editor"
"#00291","Newspaper (1st Issue)"
"#00292","Greetings. This ""newspaper"" is a new innovation that will keep people informed about news from around the country, including the latest gossip about feudal lords. Now for the news... <0> is a new domain near Edo that has been granted special permission by the government to experiment with commercial development. We look forward to seeing how it goes. There's no castle there yet, but it's just a matter of time."
"#00293","Award Event <0>"
"#00294","You got the Visuals Award! Congratulations!"
"#00295","You got the Sound Award! Congratulations!"
"#00296","You got the Worst Show Award... Well, don't let it get you down."
"#00297","You won the Runner Up prize! Congratulations!"
"#00298","You won the Grand Prize! Congratulations!"
"#00299","Well done. You have played through the Lite version of the game./In the full version, you can play as long as you like to keep developing your studio./On the following screen, you will be able to access the site for the full version of the game./We hope to see you again soon."
"#00300","Face No."
"#00301","Body No."
"#00302","Total"
"#00303","There were no changes..."
"#00304","Growth since last year"
"#00305","No change"
"#00306","$<0>0k"
"#00307","Total Ranking"
"#00308","Dateability"
"#00309","Strongest Character"
"#00310","Popular with Kids"
"#00311","Modest"
"#00312","Medium"
"#00313","Lavish"
"#00314","Drawing"
"#00315","Writing"
"#00316","Taste"
"#00317","=#00111"
"#00318","Story"
"#00319","Character"
"#00320","Visuals"
"#00321","Courage"
"#00322","Humor"
"#00323","Amity"
"#00324","Cuteness"
"#00325","Oddness"
"#00326","Visuals Award"
"#00327","Sound Award"
"#00328","Worst Show"
"#00329","Runner Up"
"#00330","Grand Prize"
"#00331","Kairo Prize"
"#00332","Good"
"#00333","Masterpiece"
"#00334","Mediocre"
"#00335","Poor"
"#00336","Unique"
"#00337","=#00086"
"#00338","Create"
"#00339","Offers"
"#00340","PR"
"#00341","Staff"
"#00342","=#00022"
"#00343","""<0>"" setting added"
"#00344","=#00288"
"#00345","Secretary"
"#00346","Thank you! I know I'll be able to produce some amazing shows with <0>!"
"#00347","I'm so happy! I can't wait to get into the groove here at <0>."
"#00348","Thanks for hiring me. "
"#00349","I'll try to make something as popular as <0>!"
"#00350","Actually my friend submitted my application as a joke. But now that you've hired me, I'll do my best."
"#00351","I got in? I've never heard of <0>, but... I'll work hard to help make us famous!"
"#00352","Really?! Working at <0> is like a dream come true for me! You won't regret this!"
"#00353","=#00207"
"#00354","Pre-Debut"
"#00355","Novice"
"#00356","Supporting Player"
"#00357","Super Hero"
"#00358","Show #<0>"
"#00359","Error 5"
"#00360","This should be an error, but we'll keep processing!"
"#00361","Our studio's first show is now complete! "
"#00362","Now choose the show's title."
"#00363","Show #<0> is now complete!"
"#00364","/This time, "
"#00365","while <0> was high, it was a bit low overall."
"#00366","<0> was pretty high. Nice job!"
"#00367","<0> was high. It looks promising!"
"#00368","<0> was quite high. We should get a good score!"
"#00369","/The combination you chose was so good that we should get a big boost to sales."
"#00370","/That combination wasn't the greatest. It might hurt our sales..."
"#00371","/I'm a little worried about whether people will accept such an unusual combination."
"#00372","Online Ranking"
"#00373","=#00111"
"#00374","Saving Game..."
"#00375","Overwrite the current\nsave data?"
"#00376","Delete the current save\ndata?"
"#00377","Save Complete."
"#00378","Save Failed."
"#00379","You don't have any offers at the moment..."
"#00380","Here you can view the various offers that have come to the studio. Try taking on a subcontracting job if you're low on funds."
"#00381","High scores are available in the full version of the game!"
"#00382","<0> is currently in production. Please wait until it is complete."
"#00383","Here you can see your studio's characters. Select an empty slot to create a new character."
"#00384","Select an empty slot to create your own original character!"
"#00385","You have no staff members."
"#00386","<0> is currently in progress. Please wait until recruitment is complete."
"#00387","We have not yet completed any shows."
"#00388","We don't have any staff members! You'd better hurry up and hire some!"
"#00389","Display studio staff members."
"#00390","Who would you like to hire?"
"#00391","You have reached the maximum number of staff members. To hire <0>, you will need to dismiss someone else./Who would you like to dismiss?"
"#00392","I'm sorry, but I'm just beat. I don't think I can do my best.../"
"#00393","I'm worried that our viewers may get tired of the same setting.../"
"#00394","Don't you think our viewers might get tired of seeing the same theme...?/"
"#00395","My pleasure. "
"#00396","It's my turn at last! "
"#00397","You want me to direct? "
"#00398","I was just wanting to direct a show with a <0> setting./"
"#00399","The setting is <0>? Just like that famous anime.../"
"#00400","I can't wait to direct a show with a <0> setting./"
"#00401","I've been collecting info about a possible <0> setting since last week!/"
"#00402","I'll work hard as the <0> to make sure this show has top-notch artwork!"
"#00403","I'll stake my reputation as a <0> that this show will have a great story!"
"#00404","As a <0>, it's my mission to make sure that this show has fantastic music!"
"#00405","I'm a <0>, so I'm not sure how good of a director I'll be, but I'll do my best!"
"#00406","I'll make a well-balanced show that any <0> could be proud of!"
"#00407","As a <0>, I'll try and make a well-balanced show that will help us with merchandising!"
"#00408","I'll use my experience as a <0> to make the most amazing anime the world has ever seen!"
"#00409","You can't dismiss your last staff member..."
"#00410","That staff member has already reached maximum level as a <0>!/You can use the Job Lab to have them change jobs."
"#00411","You don't have enough Production Points..."
"#00412","You can't broadcast until it is complete."
"#00413","A show with a <0> setting, about "
"#00414"," and "
"#00415","? And who should the director be?"
"#00416","We now have broadcast rights for <0>!"
"#00417","You delivered the final product and received <0>!"
"#00418","/You also received <0> Production Points."
"#00419","The number of available stations has increased. That should help boost our viewership!"
"#00420","Move your studio to a new location? <0>"
"#00421","You cancelled production... Your staff has suddenly lost motivation."
"#00422","You retired <0>./You received income equal to half of the market value: <0>!"
"#00423","That's too bad.../I've still got so many ideas that I'd like work on. Maybe I'll use them at my new employer... Goodbye."
"#00424","That's a shame. Maybe I can keep making anime on my own./At least until my savings give out..."
"#00425","Goodbye. I was happy here and planned to stay until I retired, but.../You never know what'll happen in life. I'll try and bounce back, somehow..."
"#00426","Hello. Thank you for considering buying airtime on our station./We were quite excited to hear that <0> might be involved./I hope you'll make a show that we can all be proud of. We're looking forward to it."
"#00427","<0> removed."
"#00428","<0> added."
"#00429","After using the <0>, you got <1> Production Points!"
"#00430","Everyone is refreshed and their stamina has been refilled!"
"#00431","You just leveled up a staff member./When a staff member's job level goes up, they can sometimes discover new settings for your shows!/But their salary will also go up, so don't make them level up too fast, or you'll run out of money!"
"#00432","I-I'm exhausted... Please let me rest a bit..."
"#00433","Theme discovered: <0>"
"#00434","Thanks to that training, you were able to discover a new theme for your shows!/Depending on the combination of job level and training, you will sometimes discover new themes."
"#00435","Show Name"
"#00436","I had high hopes for <0>'s first show, but their technique still needs work. However, the main character was appealing and the setting and themes were well thought out, so the future looks bright for this fledgling studio!"
"#00437","This is show #<1> for <0>. "
"#00438","They used a <0> setting and they featured "
"#00439","<0> "
"#00440"," and <0>"
"#00441",". I think it turned out rather well overall, and I wish them luck in their future efforts."
"#00442","<0> and <1>. | I think it turned out rather well overall, and I wish them luck in their future efforts."
"#00443","<0>. | I think it turned out rather well overall, and I wish them luck in their future efforts."
"#00444","Today I want to talk about <1> from <0>. "
"#00445","The story had a <0> setting, and the main character "
"#00446","<0> was very good. "
"#00447","The story was about <0> "
"#00448","."
"#00449","The story was about <0> and <1>."
"#00450","The story was about <0>."
"#00451","|This show's themes were rather ordinary. Maybe they can try a different combination next time."
"#00452","|This show's themes were pretty good. I hope they'll try some surprising combinations in the future."
"#00453","|The setting and theme matched perfectly! No complaints there!"
"#00454","|The setting and theme may not have been the best match. Maybe they should rethink that next time."
"#00455","|The setting and theme didn't go well together at all. I hope they try a better combination next time."
"#00456","|The theme was a little unique, but I enjoyed it. Still, maybe they should choose a combination that more people can enjoy."
"#00457","Studio Name"
"#00458","Favorite Anime"
"#00459","The script is finished--it's time to start animation!"
"#00460","This sounds like a promising concept! I bet it will be popular!"
"#00461","This feels like a masterpiece in the making! I can't wait!"
"#00462","Hmm... I'm not sure about this one. I guess it could go either way."
"#00463","I'm not sure about this concept at all... I'm worried how it will turn out."
"#00464","That's a unique concept! If everything goes well, it may become a hit!"
"#00465","Motion capture active! Visuals +<0>"
"#00466","Work station active! Quality +<0>"
"#00467","<0> has leveled up!"
"#00468","/On the next screen, you will allocate points to your character's personality./A character's personality is very important if they are to be popular. Think about how you will use them in the future."
"#00469","You have moved to a <0> studio!/The maximum number of staff and rented facilities has increased!"
"#00470","Too bad. It was a nice property. It's probably already sold./If you decide you want to move, be sure to give me a call./I look forward to seeing more of your shows."
"#00471","Hello. I am a(n) <0>."
"#00472","/We just love the <1> of your character <0>. In fact..."
"#00473","/We hope you will help us make this come true."
"#00474","That was so refreshing! I feel like I can really concentrate on my work now!"
"#00475","My fatigue just melted away! I'm going to work my hardest to finish up this show!"
"#00476","Thank you! I'm so glad to work at such an awesome company!/I'll do my best to make good shows from now on!"
